"hex_4000km","assessed_num","ki_num","food_situation_improved","food_situation_NC","food_situation_remained_same","food_situation_worse","food_source_bought_cash","food_source_given_someone","food_price_changed_prices_increased","access_healthservices_no","protection_incidents_none_no","dam_shelters_reason_conflict_looting","dam_shelters_reason_fire","dam_shelters_reason_flooding","shelters_not_rebuilt_around_half","shelters_not_rebuilt_less_half","shelters_not_rebuilt_more_half","handwashing_access_no","health_workers_available_yes","dam_shelter_yes","education_bar_cost_stud","shelters_not_rebuilt_dummy_NC","shelters_not_rebuilt_dummy_no","shelters_not_rebuilt_dummy_SL","shelters_not_rebuilt_dummy_yes"
"K-58",4,8,"0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0.75 (0.32, 1.18)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)"
"K-59",2,2,"0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","1 (1, 1)","0 (0, 0)","0.5 (-0.2, 1.2)","1 (1, 1)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)"
"K-60",4,4,"0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.5 (0.01, 0.99)","0 (0, 0)","0.25 (-0.18, 0.68)","0.5 (0.01, 0.99)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"K-61",3,4,"0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0.67 (0.13, 1.2)","0.67 (0.13, 1.2)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"K-63",7,10,"0.29 (-0.05, 0.62)","0.14 (-0.12, 0.4)","0 (0, 0)","0.57 (0.2, 0.94)","0.86 (0.6, 1.12)","0 (0, 0)","0.86 (0.6, 1.12)","1 (1, 1)","0.14 (-0.12, 0.4)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.43 (0.06, 0.8)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"K-64",4,7,"0.5 (0.01, 0.99)","0.25 (-0.18, 0.68)","0 (0, 0)","0.25 (-0.18, 0.68)","0.5 (0.01, 0.99)","0 (0, 0)","0.75 (0.32, 1.18)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"K-65",1,1,"1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"L-42",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)"
"L-46",1,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"L-49",5,8,"0 (0, 0)","0 (0, 0)","0.2 (-0.15, 0.55)","0.8 (0.45, 1.15)","0.2 (-0.15, 0.55)","0 (0, 0)","1 (1, 1)","0.6 (0.17, 1.03)","0.8 (0.45, 1.15)","0 (0, 0)","0.4 (-0.03, 0.83)","0 (0, 0)","0.2 (-0.15, 0.55)","0 (0, 0)","0 (0, 0)","0.8 (0.45, 1.15)","0.2 (-0.15, 0.55)","0.4 (-0.03, 0.83)","0.4 (-0.03, 0.83)","0 (0, 0)","0 (0, 0)","0.6 (0.17, 1.03)","0.2 (-0.15, 0.55)"
"L-50",3,5,"0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0 (0, 0)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","1 (1, 1)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0 (0, 0)","0.33 (-0.2, 0.87)","0 (0, 0)","0.67 (0.13, 1.2)"
"L-51",3,16,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.67 (0.13, 1.2)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.33 (-0.2, 0.87)","0 (0, 0)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)"
"L-52",1,1,"1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"L-54",2,6,"0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)"
"L-61",2,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"L-63",5,5,"0.6 (0.17, 1.03)","0 (0, 0)","0 (0, 0)","0.4 (-0.03, 0.83)","0.6 (0.17, 1.03)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.2 (-0.15, 0.55)","0 (0, 0)","0 (0, 0)","0.4 (-0.03, 0.83)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"L-64",3,5,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","1 (1, 1)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"M-44",2,5,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)"
"M-47",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"M-48",4,13,"0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0.75 (0.32, 1.18)","0 (0, 0)","0.5 (0.01, 0.99)","1 (1, 1)","0.75 (0.32, 1.18)","0.75 (0.32, 1.18)","0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (0.01, 0.99)","0.75 (0.32, 1.18)","0 (0, 0)","0.5 (0.01, 0.99)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0.5 (0.01, 0.99)","0.5 (0.01, 0.99)"
"M-49",9,18,"0.22 (-0.05, 0.49)","0 (0, 0)","0 (0, 0)","0.78 (0.51, 1.05)","0.11 (-0.09, 0.32)","0 (0, 0)","0.89 (0.68, 1.09)","0.78 (0.51, 1.05)","0.67 (0.36, 0.98)","0.33 (0.02, 0.64)","0 (0, 0)","0 (0, 0)","0.11 (-0.09, 0.32)","0.11 (-0.09, 0.32)","0 (0, 0)","1 (1, 1)","0.22 (-0.05, 0.49)","0.33 (0.02, 0.64)","0 (0, 0)","0.11 (-0.09, 0.32)","0.33 (0.02, 0.64)","0.44 (0.12, 0.77)","0.11 (-0.09, 0.32)"
"M-50",3,6,"0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)","1 (1, 1)","0.33 (-0.2, 0.87)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)"
"M-51",3,9,"0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0.67 (0.13, 1.2)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0.67 (0.13, 1.2)"
"M-54",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"M-61",1,1,"0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"N-41",3,3,"0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.67 (0.13, 1.2)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"N-42",3,4,"0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.67 (0.13, 1.2)","1 (1, 1)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0 (0, 0)"
"N-43",4,5,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.5 (0.01, 0.99)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"N-44",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)"
"N-45",1,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"N-46",4,7,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)","0.25 (-0.18, 0.68)","0.25 (-0.18, 0.68)","0 (0, 0)","0.25 (-0.18, 0.68)","0.75 (0.32, 1.18)","0 (0, 0)"
"N-47",3,3,"0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"N-48",10,16,"0.1 (-0.09, 0.29)","0 (0, 0)","0.1 (-0.09, 0.29)","0.8 (0.55, 1.05)","0.1 (-0.09, 0.29)","0 (0, 0)","1 (1, 1)","0.7 (0.42, 0.98)","0.8 (0.55, 1.05)","0 (0, 0)","0.1 (-0.09, 0.29)","0 (0, 0)","0 (0, 0)","0.1 (-0.09, 0.29)","0 (0, 0)","0.7 (0.42, 0.98)","0.1 (-0.09, 0.29)","0.1 (-0.09, 0.29)","0.4 (0.1, 0.7)","0 (0, 0)","0.2 (-0.05, 0.45)","0.8 (0.55, 1.05)","0 (0, 0)"
"N-49",2,5,"0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"N-50",6,19,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.33 (-0.05, 0.71)","0 (0, 0)","1 (1, 1)","0.67 (0.29, 1.05)","0.67 (0.29, 1.05)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.17 (-0.13, 0.47)","0 (0, 0)","1 (1, 1)","0.17 (-0.13, 0.47)","0 (0, 0)","0.5 (0.1, 0.9)","0 (0, 0)","0.17 (-0.13, 0.47)","0.83 (0.53, 1.13)","0 (0, 0)"
"N-51",1,7,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"N-53",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"N-54",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"O-42",3,8,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0 (0, 0)","0.33 (-0.2, 0.87)","0.67 (0.13, 1.2)","0 (0, 0)"
"O-43",4,6,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0.75 (0.32, 1.18)","0 (0, 0)","0.25 (-0.18, 0.68)","0.5 (0.01, 0.99)","0 (0, 0)","0.25 (-0.18, 0.68)","0.75 (0.32, 1.18)","0 (0, 0)"
"O-44",2,4,"0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"O-45",2,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)"
"O-46",7,14,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.86 (0.6, 1.12)","0.71 (0.38, 1.05)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.86 (0.6, 1.12)","0.14 (-0.12, 0.4)","0 (0, 0)","0.29 (-0.05, 0.62)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"O-47",17,23,"0 (0, 0)","0.06 (-0.05, 0.17)","0.06 (-0.05, 0.17)","0.88 (0.73, 1.04)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.82 (0.64, 1.01)","0.71 (0.49, 0.92)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.88 (0.73, 1.04)","0 (0, 0)","0 (0, 0)","0.35 (0.13, 0.58)","0 (0, 0)","0 (0, 0)","0.94 (0.83, 1.05)","0.06 (-0.05, 0.17)"
"O-48",14,23,"0 (0, 0)","0 (0, 0)","0.14 (-0.04, 0.33)","0.86 (0.67, 1.04)","0 (0, 0)","0 (0, 0)","0.93 (0.79, 1.06)","0.71 (0.48, 0.95)","0.64 (0.39, 0.89)","0.07 (-0.06, 0.21)","0.07 (-0.06, 0.21)","0 (0, 0)","0.07 (-0.06, 0.21)","0.07 (-0.06, 0.21)","0 (0, 0)","0.86 (0.67, 1.04)","0.07 (-0.06, 0.21)","0.14 (-0.04, 0.33)","0.36 (0.11, 0.61)","0 (0, 0)","0.14 (-0.04, 0.33)","0.79 (0.57, 1)","0.07 (-0.06, 0.21)"
"O-49",2,9,"0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"O-59",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"P-42",1,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)"
"P-45",5,5,"0 (0, 0)","0 (0, 0)","0.2 (-0.15, 0.55)","0.8 (0.45, 1.15)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.8 (0.45, 1.15)","1 (1, 1)","0.2 (-0.15, 0.55)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.2 (-0.15, 0.55)","0 (0, 0)","0.6 (0.17, 1.03)","0.2 (-0.15, 0.55)","0.2 (-0.15, 0.55)","0.4 (-0.03, 0.83)","0 (0, 0)","0.2 (-0.15, 0.55)","0.8 (0.45, 1.15)","0 (0, 0)"
"P-46",3,3,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"P-47",20,37,"0 (0, 0)","0.05 (-0.05, 0.15)","0.15 (-0.01, 0.31)","0.8 (0.62, 0.98)","0.05 (-0.05, 0.15)","0 (0, 0)","1 (1, 1)","0.85 (0.69, 1.01)","0.75 (0.56, 0.94)","0.05 (-0.05, 0.15)","0.05 (-0.05, 0.15)","0 (0, 0)","0 (0, 0)","0.05 (-0.05, 0.15)","0 (0, 0)","0.9 (0.77, 1.03)","0 (0, 0)","0.1 (-0.03, 0.23)","0.3 (0.1, 0.5)","0 (0, 0)","0.15 (-0.01, 0.31)","0.8 (0.62, 0.98)","0 (0, 0)"
"P-48",18,28,"0.06 (-0.05, 0.16)","0.06 (-0.05, 0.16)","0.17 (-0.01, 0.34)","0.72 (0.51, 0.93)","0.06 (-0.05, 0.16)","0.06 (-0.05, 0.16)","0.94 (0.84, 1.05)","0.78 (0.59, 0.97)","0.67 (0.45, 0.89)","0 (0, 0)","0.06 (-0.05, 0.16)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.06 (-0.05, 0.16)","0.61 (0.39, 0.84)","0.06 (-0.05, 0.16)","0.06 (-0.05, 0.16)","0.17 (-0.01, 0.34)","0 (0, 0)","0.06 (-0.05, 0.16)","0.83 (0.66, 1.01)","0.11 (-0.03, 0.26)"
"P-49",6,8,"0 (0, 0)","0 (0, 0)","0.33 (-0.05, 0.71)","0.67 (0.29, 1.05)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0.83 (0.53, 1.13)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.83 (0.53, 1.13)","0 (0, 0)","0 (0, 0)","0.5 (0.1, 0.9)","0 (0, 0)","0.17 (-0.13, 0.47)","0.83 (0.53, 1.13)","0 (0, 0)"
