"OBJECTID_1","OBJECTID_2","name","SOURCE","DEFINITION","ADM1_NAME","ADM2_NAME","RELIABILIT","X_COORD","Y_COORD","P_CODE","MGRS_CODE","Profile_Ma","market_settlement","Id","hex_4000km_market","geometry"
800,803,"Baidoa","UNDP - 1997, FSAU","Regional Capital","Bay","Baidoa","Verified",43.6469,3.11718,"NA-3802-X04-001","38NLJ4964144642","Baydhabo (Baidoa)","NA-3802-X04-001",0,"Q-47",c(43.6469, 3.11718)
825,828,"Bakaar Yare","UNDP - 2006, FSAU","Settlement","Bakool","Waajid","Verified",43.46766,3.6466,"NA-3801-J33-001","38NLK2981103209",NA,"NA-3801-J33-001",0,"P-45",c(43.46766, 3.6466)
833,836,"Bakal","UNDP - 2006","Settlement","Gedo","Ceel Waaq","Verified",41.47162,2.34816,"NA-3708-R22-001","37NGC7488559786",NA,"NA-3708-R22-001",0,"D-52",c(41.47162, 2.34816)
844,847,"Bakaley","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.15,2.77426,"NA-3805-F26-001","38NKJ9434506802",NA,"NA-3805-F26-001",0,"N-50",c(43.15, 2.77426)
848,851,"Bakal-Laagow","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.22427,3.01009,"NA-3801-Z27-001","38NLJ0264432869",NA,"NA-3801-Z27-001",0,"N-48",c(43.22427, 3.01009)
853,856,"Bakhtiley","UNDP - 2006, UNDP - 1997","Settlement","Gedo","Belet Xaawo","Verified",41.88793,3.62506,"NA-3704-J31-001","37NHE2085101195",NA,"NA-3704-J31-001",0,"F-45",c(41.88793, 3.62506)
863,866,"Balaaw","UNDP - 1997","Settlement","Bay","Buur Hakaba","Verified",44.183819,2.85361,"NA-3806-D16-003","38NMJ0928815444",NA,"NA-3806-D16-003",0,"T-49",c(44.183819, 2.85361)
868,871,"Balad Aamiin","UNDP - 2006","Settlement","Lower Shabelle","Wanla Weyn","Verified",44.7217,2.58285,"NA-3806-L27-001","38NMH6906385487",NA,"NA-3806-L27-001",0,"W-50",c(44.7217, 2.58285)
869,872,"Balad Raxman","UNDP - 1997","Settlement","Lower Juba","Jamaame","Verified",42.71225,0.07806,"NA-3813-Y16-006","38NKF4536208634",NA,"NA-3813-Y16-006",0,"K-63",c(42.71225, 0.07806)
869,872,"Balad Raxman","UNDP - 1997","Settlement","Lower Juba","Jamaame","Verified",42.71225,0.07806,"NA-3813-Y16-006","38NKF4536208634",NA,"NA-3813-Y16-006",0,"K-63",c(42.71225, 0.07806)
872,875,"Balado Raxma","UNDP - 1997","Settlement","Middle Juba","Jilib","Verified",42.757568,0.49547,"NA-3813-N17-006","38NKF5041854806",NA,"NA-3813-N17-006",0,"K-61",c(42.757568, 0.49547)
878,881,"Balan Baasha","UNDP - 2006","Settlement","Bay","Diinsoor","Verified",42.54641,2.26674,"NA-3805-T13-001","38NKH2710550775",NA,"NA-3805-T13-001",0,"J-52",c(42.54641, 2.26674)
891,894,"Balbaley","UNDP - 2006","Settlement","Lower Shabelle","Afgooye","Verified",45.13208776,2.159209483,"NA-3807-W03-014","38NNH1468738659",NA,"NA-3807-W03-014",0,"Z-53",c(45.13208776, 2.159209483)
968,971,"Ballow","UNDP - 1997","Settlement","Lower Shabelle","Afgooye","Verified",45.16006973,2.189674938,"NA-3807-V04-006","38NNH1779842027",NA,"NA-3807-V04-006",0,"Z-53",c(45.16006973, 2.189674938)
976,979,"Baloow","UNDP - 2006, UNDP - 1997","Settlement","Lower Shabelle","Afgooye","Verified",45.29931,2.32483,"NA-3807-S07-003","38NNH3327856968",NA,"NA-3807-S07-003",0,"AA-51",c(45.29931, 2.32483)
981,984,"Balow","UNDP - 1997","Settlement","Lower Shabelle","Qoryooley","Verified",44.427139,1.72426,"NA-3810-G21-004","38NMG3628290592",NA,"NA-3810-G21-004",0,"V-55",c(44.427139, 1.72426)
996,999,"Ban Reer","UNDP - 1997","Settlement","Bay","Qansax Dheere","Verified",43.109192,2.6118,"NA-3805-K25-002","38NKH8977988842",NA,"NA-3805-K25-002",0,"N-50",c(43.109192, 2.6118)
1001,1004,"Banaaney","UNDP - 2006, UNDP - 1997","Settlement","Middle Shabelle","Jowhar","Verified",45.51299,2.79783,"NA-3807-E12-003","38NNJ5701609259",NA,"NA-3807-E12-003",0,"AB-49",c(45.51299, 2.79783)
1020,1023,"Bandar Jediid","UNDP - 1997","Settlement","Lower Juba","Jamaame","Verified",42.609219,-0.01289,"SA-3801-A14-006","38MKE3388898574",NA,"SA-3801-A14-006",0,"K-64",c(42.609219, -0.01289)
1020,1023,"Bandar Jediid","UNDP - 1997","Settlement","Lower Juba","Jamaame","Verified",42.609219,-0.01289,"SA-3801-A14-006","38MKE3388898574",NA,"SA-3801-A14-006",0,"K-64",c(42.609219, -0.01289)
1020,1023,"Bandar Jediid","UNDP - 1997","Settlement","Lower Juba","Jamaame","Verified",42.609219,-0.01289,"SA-3801-A14-006","38MKE3388898574",NA,"SA-3801-A14-006",0,"K-64",c(42.609219, -0.01289)
1033,1036,"Bandub","UNDP - 2006","Settlement","Bay","Diinsoor","Verified",42.52098,2.24898,"NA-3805-U12-001","38NKH2427148815",NA,"NA-3805-U12-001",0,"J-52",c(42.52098, 2.24898)
1039,1042,"Banjanaay","UNDP - 2006","Settlement","Bakool","Xudur","Verified",43.92981,4.23508,"NB-3814-U10-002","38NLK8123068194",NA,"NB-3814-U10-002",0,"R-42",c(43.92981, 4.23508)
1068,1071,"Baqdaad","UNDP - 2006, UNDP - 1997","Settlement","Middle Shabelle","Balcad","Verified",45.50352,2.61284,"NA-3807-K12-004","38NNH5597288810",NA,"NA-3807-K12-004",0,"AB-50",c(45.50352, 2.61284)
1077,1080,"Bar Baar Ees","UNDP - 2006","Settlement","Gedo","Luuq","Verified",42.86368,3.44891,"NA-3801-P20-001","38NKJ6265381479",NA,"NA-3801-P20-001",0,"L-46",c(42.86368, 3.44891)
1083,1086,"Bar Muumin Dhoorow","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Middle Juba","Saakow","Verified",42.378201,1.85023,"NA-3809-D09-001","38NKH0830804722",NA,"NA-3809-D09-001",0,"I-54",c(42.378201, 1.85023)
1093,1096,"Baraawe","UNDP - 1997, FSAU","District Capital","Lower Shabelle","Baraawe","Verified",44.03043,1.11477,"NA-3810-X12-006","38NLG9212623233","Baraawe","NA-3810-X12-006",0,"S-58",c(44.03043, 1.11477)
1150,1153,"Baladurahma","UNDP - 2006, UNDP - 1997","Settlement","Lower Shabelle","Afgooye","Verified",45.265316,2.297994,"NA-3807-S06-003","38NNH2949954001",NA,"NA-3807-S06-003",0,"Z-52",c(45.265316, 2.297994)
1161,1164,"Bayaxaaw","UNDP - 1997, FSAU","Settlement","Middle Shabelle","Jowhar","Verified",45.502319,2.74011,"NA-3807-G12-003","38NNJ5583202878",NA,"NA-3807-G12-003",0,"AB-50",c(45.502319, 2.74011)
1169,1172,"Bedanbedey","UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.466049,3.03188,"NA-3801-Z33-006","38NLJ2952635237",NA,"NA-3801-Z33-006",0,"P-48",c(43.466049, 3.03188)
1193,1196,"Beermaasi","UNDP - 1997","Settlement","Lower Juba","Kismayo","Verified",42.123829,-0.67362,"SA-3801-S03-001","38MJE7984025450",NA,"SA-3801-S03-001",0,"H-67",c(42.123829, -0.67362)
1234,1237,"Beled Muddey","UNDP - 1997","Settlement","Lower Shabelle","Baraawe","Verified",44.02039,1.19657,"NA-3810-V12-002","38NLG9101232276",NA,"NA-3810-V12-002",0,"S-57",c(44.02039, 1.19657)
1245,1248,"Belet Xaawo","UNDP - 1997","District Capital","Gedo","Belet Xaawo","Verified",41.89431,3.78074,"NA-3704-F31-001","37NHE2150418427","Belet Xaawo","NA-3704-F31-001",0,"G-44",c(41.89431, 3.78074)
1261,1264,"Benlow Yare","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.25297,2.81326,"NA-3805-E28-004","38NLJ0580111097",NA,"NA-3805-E28-004",0,"O-49",c(43.25297, 2.81326)
1261,1264,"Benlow Yare","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.25297,2.81326,"NA-3805-E28-004","38NLJ0580111097",NA,"NA-3805-E28-004",0,"O-49",c(43.25297, 2.81326)
1277,1280,"Berdale","UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.198048,3.214367,"NA-3801-U27-004","38NKJ9976855464",NA,"NA-3801-U27-004",0,"N-47",c(43.198048, 3.214367)
1277,1280,"Berdale","UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.198048,3.214367,"NA-3801-U27-004","38NKJ9976855464",NA,"NA-3801-U27-004",0,"N-47",c(43.198048, 3.214367)
1349,1352,"Bioyooley","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Bakool","Tayeeglow","Verified",44.42142,3.9359,"NA-3802-B21-003","38NMK3576835064",NA,"NA-3802-B21-003",0,"U-43",c(44.42142, 3.9359)
1349,1352,"Bioyooley","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Bakool","Tayeeglow","Verified",44.42142,3.9359,"NA-3802-B21-003","38NMK3576835064",NA,"NA-3802-B21-003",0,"U-43",c(44.42142, 3.9359)
1376,1379,"Biyi-Guur","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.38275,3.28554,"NA-3801-T31-006","38NLJ2031063300",NA,"NA-3801-T31-006",0,"O-46",c(43.38275, 3.28554)
1377,1380,"Biyo Cadde","UNDP - 1997","Settlement","Middle Shabelle","Jowhar","Verified",45.327782,2.81111,"NA-3807-E08-001","38NNJ3643010719",NA,"NA-3807-E08-001",0,"AA-49",c(45.327782, 2.81111)
1390,1393,"Biyo Yare","UNDP - 1997","Settlement","Lower Juba","Kismayo","Verified",42.618752,-0.2264,"SA-3801-F14-003","38MKE3495174954",NA,"SA-3801-F14-003",0,"K-65",c(42.618752, -0.2264)
1433,1436,"Boholey","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.54379,3.12322,"NA-3802-X01-010","38NLJ3818145325",NA,"NA-3802-X01-010",0,"P-48",c(43.54379, 3.12322)
1573,1576,"Bulo Fur","FSAU","Settlement","Bay","Qansax Dheere","Verified",43.07593,2.90166,"NA-3805-C24-001","38NKJ8613120905",NA,"NA-3805-C24-001",0,"N-49",c(43.07593, 2.90166)
1623,1626,"Bulo Nur","UNDP - 1997","Settlement","Middle Shabelle","Jowhar","Verified",45.521599,2.9278,"NA-3807-B12-004","38NNJ5796623626",NA,"NA-3807-B12-004",0,"AB-49",c(45.521599, 2.9278)
1644,1647,"Bulo Shiiqaal","UNDP - 2006","Settlement","Lower Shabelle","Qoryooley","Verified",44.57266,1.81035,"NA-3810-E24-003","38NMH5247000104",NA,"NA-3810-E24-003",0,"W-54",c(44.57266, 1.81035)
1647,1650,"Bulo Siimow","UNDP - 2006, UNDP - 1997","Settlement","Lower Shabelle","Qoryooley","Verified",44.52763,1.75605,"NA-3810-F23-003","38NMG4746094103",NA,"NA-3810-F23-003",0,"V-55",c(44.52763, 1.75605)
1667,1670,"Caanoole","UNDP - 1997","Settlement","Middle Juba","Bu'aale","Verified",42.582802,1.08129,"NA-3809-Y13-002","38NKG3099319622",NA,"NA-3809-Y13-002",0,"K-58",c(42.582802, 1.08129)
1694,1697,"Bulohadamo","FSAU","Settlement","Bay","Baidoa","Verified",43.13613,2.72543,"NA-3805-G25-003","38NKJ9279401404",NA,"NA-3805-G25-003",0,"N-50",c(43.13613, 2.72543)
1796,1799,"Busatale","UNDP - 2006","Settlement","Middle Shabelle","Balcad","Verified",45.3885,2.50034,"NA-3807-M09-001","38NNH4318976370",NA,"NA-3807-M09-001",0,"AA-51",c(45.3885, 2.50034)
1800,1803,"Busley","UNDP - 2006, UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.52275,3.17256,"NA-3802-V01-008","38NLJ3585150783",NA,"NA-3802-V01-008",0,"P-48",c(43.52275, 3.17256)
1805,1808,"Busley","UNDP - 1997","Settlement","Lower Shabelle","Qoryooley","Verified",44.52977,1.76934,"NA-3810-F23-010","38NMG4769995572",NA,"NA-3810-F23-010",0,"V-55",c(44.52977, 1.76934)
1805,1808,"Busley","UNDP - 1997","Settlement","Lower Shabelle","Qoryooley","Verified",44.52977,1.76934,"NA-3810-F23-010","38NMG4769995572",NA,"NA-3810-F23-010",0,"V-55",c(44.52977, 1.76934)
1807,1810,"Busley","UNDP - 2006, FSAU","Settlement","Bakool","Xudur","Verified",44.09402,4.0202,"NB-3814-Z14-001","38NLK9942944415",NA,"NB-3814-Z14-001",0,"T-43",c(44.09402, 4.0202)
1808,1811,"Busley Da'Ud","KEMRI - 2007, UNDP - 2006, UNDP - 1997","Settlement","Lower Shabelle","Qoryooley","Verified",44.74682,1.85304,"NA-3810-D28-008","38NMH7184104819",NA,"NA-3810-D28-008",0,"W-54",c(44.74682, 1.85304)
1812,1815,"Busul","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.58208,3.55647,"NA-3802-L02-005","38NLJ4250693222",NA,"NA-3802-L02-005",0,"Q-45",c(43.58208, 3.55647)
1835,1838,"Buullo Makiino","UNDP - 2006","Part of town","Middle Shabelle","Jowhar","Verified",45.50234,2.77849,"NA-3807-F12-009","38NNJ5583307120",NA,"NA-3807-F12-009",0,"AB-50",c(45.50234, 2.77849)
1916,1919,"Buulo Fajir","UNDP - 1997","Settlement","Bakool","Xudur","Verified",44.275558,3.97529,"NA-3802-A18-001","38NMK1957839431",NA,"NA-3802-A18-001",0,"U-43",c(44.275558, 3.97529)
1923,1926,"Buulo Fuur","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.2809,3.20252,"NA-3801-V29-001","38NLJ0897554138",NA,"NA-3801-V29-001",0,"O-47",c(43.2809, 3.20252)
1926,1929,"Buulo Fuur","UNDP - 2006","Settlement","Bay","Qansax Dheere","Verified",42.8355,2.66522,"NA-3805-J19-002","38NKH5934694800",NA,"NA-3805-J19-002",0,"L-50",c(42.8355, 2.66522)
1931,1934,"Buulo Gadud","UNDP - 2006, UNDP - 1997","Settlement","Bay","Diinsoor","Verified",42.7929,2.40692,"NA-3805-Q18-001","38NKH5455966237",NA,"NA-3805-Q18-001",0,"L-51",c(42.7929, 2.40692)
1934,1937,"Buulo Gaduud","UNDP - 2006, UNDP - 1997","Settlement","Gedo","Baardheere","Verified",42.23469,2.13328,"NA-3805-W06-002","38NJH9238236069",NA,"NA-3805-W06-002",0,"H-53",c(42.23469, 2.13328)
1951,1954,"Buulo Garas","UNDP - 1997","Settlement","Middle Shabelle","Jowhar","Verified",45.644619,2.78963,"NA-3807-F15-010","38NNJ7164708359",NA,"NA-3807-F15-010",0,"AC-49",c(45.644619, 2.78963)
2010,2013,"Buulo Kuunto","UNDP - 2006","Settlement","Middle Shabelle","Balcad","Verified",45.3341,2.33246,"NA-3807-S08-006","38NNH3714657812",NA,"NA-3807-S08-006",0,"AA-51",c(45.3341, 2.33246)
2020,2023,"Buulo Madow","UNDP - 2006","Settlement","Lower Shabelle","Qoryooley","Verified",44.52485,1.7658,"NA-3810-F23-008","38NMG4715295181",NA,"NA-3810-F23-008",0,"V-55",c(44.52485, 1.7658)
2024,2027,"Buulo Mareer","UNDP - 2006, UNDP - 1997","Settlement","Lower Shabelle","Marka","Verified",44.52252,1.63335,"NA-3810-J23-002","38NMG4688980541",NA,"NA-3810-J23-002",0,"V-55",c(44.52252, 1.63335)
2043,2046,"Buulo Nuurow","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.28937,3.05353,"NA-3801-Y29-016","38NLJ0988937661",NA,"NA-3801-Y29-016",0,"O-48",c(43.28937, 3.05353)
2047,2050,"Buulo Oon Jirre","UNDP - 1997","Settlement","Bay","Qansax Dheere","Verified",43.09621,3.04438,"NA-3801-Y25-014","38NKJ8841336685",NA,"NA-3801-Y25-014",0,"N-48",c(43.09621, 3.04438)
2070,2073,"Buulo Shiiq","UNDP - 2006, FSAU","Settlement","Lower Shabelle","Sablaale","Verified",43.71338,1.17952,"NA-3810-V05-004","38NLG5684930405",NA,"NA-3810-V05-004",0,"Q-57",c(43.71338, 1.17952)
2103,2106,"Buulo Xaaji Cisman","KEMRI - 2007","Settlement","Lower Shabelle","Marka","Verified",44.79915,1.85272,"NA-3810-D29-008","38NMH7766104783",NA,"NA-3810-D29-008",0,"X-54",c(44.79915, 1.85272)
2106,2109,"Buulo Xaawo","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.1365,3.05482,"NA-3801-Y26-005","38NKJ9289537832",NA,"NA-3801-Y26-005",0,"N-48",c(43.1365, 3.05482)
2109,2112,"Buulo Xuji","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.29131,3.04702,"NA-3801-Y29-011","38NLJ1010436940",NA,"NA-3801-Y29-011",0,"O-48",c(43.29131, 3.04702)
2112,2115,"Buulo Yarow","UNDP - 2006","Settlement","Lower Shabelle","Marka","Verified",44.62206135,1.728176822,"NA-3810-G25-012","38NMG5796391020",NA,"NA-3810-G25-012",0,"W-55",c(44.62206135, 1.728176822)
2113,2116,"Buulo Yaroy","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.1445,3.05893,"NA-3801-Y26-004","38NKJ9378538285",NA,"NA-3801-Y26-004",0,"N-48",c(43.1445, 3.05893)
2141,2144,"Buulo-Ciir","UNDP - 2006, FSAU","Settlement","Bay","Baidoa","Verified",43.221,2.76285,"NA-3805-F27-001","38NLJ0223805528",NA,"NA-3805-F27-001",0,"N-50",c(43.221, 2.76285)
2149,2152,"Buulo-Doonka","UNDP - 2006, UNDP - 1997","Settlement","Middle Shabelle","Balcad","Verified",45.47574,2.48194,"NA-3807-N11-008","38NNH5288974340",NA,"NA-3807-N11-008",0,"AB-51",c(45.47574, 2.48194)
2158,2161,"Buulo-Fulay","UNDP - 2006, UNDP - 1997","Settlement","Bay","Buur Hakaba","Verified",43.52329,2.11064,"NA-3806-X01-007","38NLH3577133368",NA,"NA-3806-X01-007",0,"P-53",c(43.52329, 2.11064)
2184,2187,"Buulo-Jadiid","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.42939,3.25457,"NA-3801-T32-005","38NLJ2548859867",NA,"NA-3801-T32-005",0,"P-47",c(43.42939, 3.25457)
2244,2247,"Buur Dhajis","UNDP - 1997","Settlement","Bay","Buur Hakaba","Verified",44.191212,3.01828,"NA-3802-Z16-001","38NMJ1012333647",NA,"NA-3802-Z16-001",0,"T-48",c(44.191212, 3.01828)
2246,2249,"Buur Dhuxunle","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Bakool","Rab Dhuure","Verified",43.24708,4.05523,"NB-3813-Y28-001","38NLK0539848442",NA,"NB-3813-Y28-001",0,"N-43",c(43.24708, 4.05523)
2246,2249,"Buur Dhuxunle","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Bakool","Rab Dhuure","Verified",43.24708,4.05523,"NB-3813-Y28-001","38NLK0539848442",NA,"NB-3813-Y28-001",0,"N-43",c(43.24708, 4.05523)
2246,2249,"Buur Dhuxunle","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Bakool","Rab Dhuure","Verified",43.24708,4.05523,"NB-3813-Y28-001","38NLK0539848442",NA,"NB-3813-Y28-001",0,"N-43",c(43.24708, 4.05523)
2246,2249,"Buur Dhuxunle","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Bakool","Rab Dhuure","Verified",43.24708,4.05523,"NB-3813-Y28-001","38NLK0539848442",NA,"NB-3813-Y28-001",0,"N-43",c(43.24708, 4.05523)
2252,2255,"Buur Hakaba","UNDP - 1997, FSAU","District Capital","Bay","Buur Hakaba","Verified",44.08205,2.80488,"NA-3806-E13-007","38NLJ9797210065","Buurhakaba","NA-3806-E13-007",0,"S-49",c(44.08205, 2.80488)
2252,2255,"Buur Hakaba","UNDP - 1997, FSAU","District Capital","Bay","Buur Hakaba","Verified",44.08205,2.80488,"NA-3806-E13-007","38NLJ9797210065","Buurhakaba","NA-3806-E13-007",0,"S-49",c(44.08205, 2.80488)
2266,2269,"Buur-Cadey","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Bakool","Rab Dhuure","Verified",43.34648,4.07754,"NB-3813-Y30-003","38NLK1644150886",NA,"NB-3813-Y30-003",0,"O-42",c(43.34648, 4.07754)
2269,2272,"Buurey","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.4694,3.31584,"NA-3801-S33-007","38NLJ2994566635",NA,"NA-3801-S33-007",0,"P-47",c(43.4694, 3.31584)
2310,2313,"Cabdi Cali","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Lower Shabelle","Qoryooley","Verified",44.48592,1.74988,"NA-3810-G22-011","38NMG4282193422",NA,"NA-3810-G22-011",0,"V-55",c(44.48592, 1.74988)
2339,2342,"Cabuur","UNDP - 2006","Settlement","Middle Shabelle","Jowhar","Verified",45.74482,2.95488,"NA-3807-B17-005","38NNJ8277226633",NA,"NA-3807-B17-005",0,"AC-48",c(45.74482, 2.95488)
2427,2430,"Calaame","UNDP - 1997","Settlement","Bakool","Rab Dhuure","Verified",43.151001,4.3797,"NB-3813-Q26-001","38NKK9481484350",NA,"NB-3813-Q26-001",0,"N-41",c(43.151001, 4.3797)
2435,2438,"Cali Baadi","UNDP - 2006, FSAU","Settlement","Bay","Baidoa","Verified",43.13467,3.40838,"NA-3801-Q25-001","38NKJ9276376933",NA,"NA-3801-Q25-001",0,"N-46",c(43.13467, 3.40838)
2536,2539,"Cali-Dheer","UNDP - 2006, UNDP - 1997","Settlement","Middle Shabelle","Jowhar","Verified",45.44202,2.90618,"NA-3807-C10-003","38NNJ4912321232",NA,"NA-3807-C10-003",0,"AB-49",c(45.44202, 2.90618)
2557,2560,"Caliyow-Muumin","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Bay","Baidoa","Verified",43.51587,2.98528,"NA-3806-A01-006","38NLJ3505730077",NA,"NA-3806-A01-006",0,"P-49",c(43.51587, 2.98528)
2609,2612,"Caracase","UNDP - 1997","Settlement","Bakool","Waajid","Verified",43.5326,3.748,"NA-3802-G01-001","38NLK3704414408",NA,"NA-3802-G01-001",0,"P-45",c(43.5326, 3.748)
2652,2655,"Carshaanley","UNDP - 2006","Settlement","Lower Shabelle","Baraawe","Verified",43.90815,1.10704,"NA-3810-X09-001","38NLG7851922383",NA,"NA-3810-X09-001",0,"R-58",c(43.90815, 1.10704)
2705,2708,"Ceel Boon","UNDP - 2006, FSAU","Settlement","Gedo","Luuq","Verified",42.91011,3.72838,"NA-3801-G21-001","38NKK6788512379",NA,"NA-3801-G21-001",0,"M-44",c(42.91011, 3.72838)
2705,2708,"Ceel Boon","UNDP - 2006, FSAU","Settlement","Gedo","Luuq","Verified",42.91011,3.72838,"NA-3801-G21-001","38NKK6788512379",NA,"NA-3801-G21-001",0,"M-44",c(42.91011, 3.72838)
2749,2752,"Ceel Geelow","UNDP - 2006","Settlement","Middle Shabelle","Balcad","Verified",45.36218,2.51586,"NA-3807-M08-006","38NNH4026378085",NA,"NA-3807-M08-006",0,"AA-50",c(45.36218, 2.51586)
2837,2840,"Ceeldheere","FSAU","Settlement","Bakool","Rab Dhuure","Verified",43.16699,4.18806,"NB-3813-V26-001","38NKK9653863152",NA,"NB-3813-V26-001",0,"N-42",c(43.16699, 4.18806)
2842,2845,"Ceel-Dhun (Adeegow)","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.25189,3.24187,"NA-3801-U28-002","38NLJ0575858495",NA,"NA-3801-U28-002",0,"N-47",c(43.25189, 3.24187)
2918,2921,"Damaley","UNDP - 2006, UNDP - 1997","Settlement","Middle Shabelle","Balcad","Verified",45.487086,2.508118,"NA-3807-M11-001","38NNH5414977234",NA,"NA-3807-M11-001",0,"AB-51",c(45.487086, 2.508118)
2953,2956,"Dani","UNDP - 1997","Settlement","Lower Shabelle","Wanla Weyn","Verified",45.110249,2.7958,"NA-3807-E03-001","38NNJ1225309022",NA,"NA-3807-E03-001",0,"Y-49",c(45.110249, 2.7958)
2971,2974,"Daraley","UNDP - 2006","Part of town","Lower Shabelle","Baraawe","Verified",44.03311,1.12074,"NA-3810-X12-009","38NLG9242423893",NA,"NA-3810-X12-009",0,"S-58",c(44.03311, 1.12074)
2990,2993,"Dareersin 1","UNDP - 2006, FSAU","Settlement","Bakool","Tayeeglow","Verified",44.34958,3.91586,"NA-3802-C19-005","38NMK2779032854",NA,"NA-3802-C19-005",0,"U-43",c(44.34958, 3.91586)
3078,3081,"Daarasalaam","UNDP - 2006","Settlement","Gedo","Baardheere","Verified",41.07459,1.95362,"NA-3712-B13-001","37NGC3076716077",NA,"NA-3712-B13-001",0,"B-54",c(41.07459, 1.95362)
3083,3086,"Daarta","UNDP - 2006","Settlement","Bay","Qansax Dheere","Verified",42.79731,2.80091,"NA-3805-E18-001","38NKJ5512609817",NA,"NA-3805-E18-001",0,"L-49",c(42.79731, 2.80091)
3139,3142,"Dacaraha","UNDP - 2006","Settlement","Lower Shabelle","Kurtunwaarey","Verified",44.13643,1.55556,"NA-3810-L15-002","38NMG0393771956",NA,"NA-3810-L15-002",0,"T-56",c(44.13643, 1.55556)
3190,3193,"Dawoole","UNDP - 2006","Settlement","Lower Shabelle","Sablaale","Verified",44.08324,1.42402,"NA-3810-P13-002","38NLG9801457417",NA,"NA-3810-P13-002",0,"S-56",c(44.08324, 1.42402)
3203,3206,"Daynuunay","UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.796879,3.03985,"NA-3802-Z07-005","38NLJ6630036072",NA,"NA-3802-Z07-005",0,"R-48",c(43.796879, 3.03985)
3249,3252,"Deg-Gomor","UNDP - 2006, FSAU","Settlement","Bay","Diinsoor","Verified",42.86446,2.47586,"NA-3805-N20-001","38NKH6253373849",NA,"NA-3805-N20-001",0,"L-51",c(42.86446, 2.47586)
3266,3269,"Docoley","UNDP - 2006","Settlement","Middle Shabelle","Balcad","Verified",45.46053,2.57554,"NA-3807-L11-002","38NNH5119484685",NA,"NA-3807-L11-002",0,"AB-51",c(45.46053, 2.57554)
3270,3273,"Doffe","UNDP - 1997","Settlement","Middle Juba","Saakow","Verified",42.399799,1.6818,"NA-3809-H09-003","38NKG1068686082",NA,"NA-3809-H09-003",0,"I-55",c(42.399799, 1.6818)
3315,3318,"Doon Buraale","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Lower Shabelle","Qoryooley","Verified",44.44383,1.72559,"NA-3810-G21-005","38NMG3813990739",NA,"NA-3810-G21-005",0,"V-55",c(44.44383, 1.72559)
3503,3506,"Dharkaynley","UNDP - 1997","Settlement","Lower Shabelle","Qoryooley","Verified",44.49749,1.77908,"NA-3810-F22-011","38NMG4410996650",NA,"NA-3810-F22-011",0,"V-55",c(44.49749, 1.77908)
3533,3536,"Dhayaal","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.24492,3.17356,"NA-3801-V28-002","38NLJ0497050942",NA,"NA-3801-V28-002",0,"O-47",c(43.24492, 3.17356)
3600,3603,"Dhinawe","UNDP - 2006, FSAU","Settlement","Bakool","Tayeeglow","Verified",44.64138,3.97077,"NA-3802-A26-002","38NMK6018938905",NA,"NA-3802-A26-002",0,"W-43",c(44.64138, 3.97077)
3625,3628,"Dhoomey","UNDP - 2006","Settlement","Middle Shabelle","Jowhar","Verified",45.5407,2.86691,"NA-3807-D12-009","38NNJ6009216896",NA,"NA-3807-D12-009",0,"AB-49",c(45.5407, 2.86691)
3637,3640,"Dhuboy","UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.450851,3.04098,"NA-3801-Z32-010","38NLJ2783836246",NA,"NA-3801-Z32-010",0,"P-48",c(43.450851, 3.04098)
